id,parents,labels
DESC920424,DESC138494,Bucaramanga
DESC1001912,DESC138494,Cartagena
DESC145713,DESC138494,Medellin
DESC139471,DESC153979,Equateur
DESC818371,DESC153979,Guyana
DESC153981,DESC153979,Guyane (région et département)
DESC144014,DESC153979,Paraguay
DESC1123747,DESC144014,Asunción
DESC153982,DESC153979,Pérou
DESC897886,DESC153982,Andahuaylillas
DESC863256,DESC153982,Cuzco
DESC930906,DESC153982,Lima
DESC919889,DESC153982,Rio Cenepa
DESC153983,DESC153979,Surinam
DESC153984,DESC153979,Uruguay
DESC153995,DESC153984,Montevideo
DESC153320,DESC153979,Venezuela
DESC1047711,DESC153320,Lara
DESC143180,DESC153320,Quibor
DESC154073,DESC1160884,Asie
DESC147102,DESC154073,Asie centrale
DESC154075,DESC147102,Afghanistan
DESC764113,DESC154075,Badakhstan
DESC772409,DESC154075,Kaboul
DESC147101,DESC147102,Kazakhstan
DESC141627,DESC147101,Almaty
DESC151905,DESC147102,Kirghizistan
DESC141631,DESC151905,Bichkek
DESC150437,DESC147102,Mongolie
DESC154287,DESC147102,Ouzbekistan
DESC151907,DESC154287,Karakalpalkstan
DESC151142,DESC154287,Samarkand
DESC141646,DESC154287,Tachkent
DESC154291,DESC147102,Tadjikistan
DESC141642,DESC154291,Douchanbe
DESC148791,DESC147102,Tibet
DESC811683,DESC147102,Turkestan occidental
DESC154076,DESC147102,Turkmenistan
DESC726328,DESC154073,Asie du Sud
DESC154074,DESC726328,Bangladesh
DESC155721,DESC154074,Comilla
DESC915793,DESC154074,Tipperah
DESC148774,DESC726328,Bhoutan
DESC902650,DESC726328,Himalaya-Népal-Tibet
DESC142117,DESC902650,Népal
DESC154613,DESC142117,Katmandou
DESC148791,DESC902650,Tibet
DESC142507,DESC726328,Iles Maldives
DESC148017,DESC726328,Inde
DESC148016,DESC148017,Cachemire
DESC1136482,DESC148017,Dharamsala
DESC153295,DESC148017,Iles Andaman
DESC154144,DESC148017,Inde du Nord
DESC813318,DESC154144,Assam
DESC154145,DESC154144,Bengale
DESC151676,DESC154144,Bihar
DESC139762,DESC154144,Bombay
DESC154146,DESC154144,Calcutta
DESC151145,DESC154144,Delhi
DESC154140,DESC154144,Dhumka
DESC1066588,DESC154144,Garhwal
DESC893629,DESC154144,Gujarat
DESC1066585,DESC893629,Saurashtra
DESC1066587,DESC154144,Kumaon
DESC154147,DESC154144,Ladakh
DESC811694,DESC154144,Madhya Pradesh
DESC811695,DESC811694,Gwalior
DESC811696,DESC811695,Shivpuri
DESC151131,DESC154144,Miraj
DESC146536,DESC154144,Mithila
DESC154148,DESC154144,Rajasthan
DESC896603,DESC154148,Barmer
DESC811841,DESC154148,Bikaner
DESC897059,DESC154148,Chinakalwal
DESC896589,DESC154148,Jaipur
DESC896607,DESC154148,Jaisalmer
DESC896606,DESC154148,Jodhpur
DESC896605,DESC154148,Kota (Région)
DESC896609,DESC154148,Sekhawati
DESC1002495,DESC154144,Uttar Pradesh
DESC1136481,DESC1002495,Agra
DESC1019082,DESC1002495,Lucknow
DESC1137873,DESC154144,Uttarakhand
DESC151283,DESC154144,Varanasi
DESC152304,DESC154144,Visnupur
DESC148534,DESC148017,Inde du Sud
DESC811707,DESC148534,Karnataka
DESC1138308,DESC811707,Bangalore
DESC148978,DESC148534,Kérala
DESC148533,DESC148534,Madras
DESC154152,DESC148534,Mysore
DESC1134362,DESC148534,Tamil Nadu
DESC154141,DESC148017,Inde Moghole
DESC1066594,DESC148017,Konkan
DESC1066593,DESC148017,Maharashtra
DESC893626,DESC148017,Panjab
DESC1101363,DESC148017,Tiruchirappall
DESC142117,DESC726328,Népal
DESC154613,DESC142117,Katmandou
DESC141739,DESC726328,Pakistan
DESC148016,DESC141739,Cachemire
DESC141243,DESC141739,Karachi
DESC893626,DESC141739,Panjab
DESC146111,DESC726328,Sri Lanka
DESC137271,DESC146111,Kandy
DESC154081,DESC154073,Asie du Sud-Est
DESC154082,DESC154081,Birmanie
DESC1020945,DESC154082,Karen
BRUNEI,DESC154081,Brunéi
DESC146437,DESC154081,Cambodge
DESC956788,DESC146437,Angkor
DESC146436,DESC146437,Phnom Penh
DESC146528,DESC154081,Indonésie
DESC146531,DESC146528,Ambon
DESC811661,DESC146528,Baie Yos Sudarso
DESC151033,DESC146528,Bali
DESC1008006,DESC151033,Denpasar
DESC148511,DESC146528,Bornéo
DESC148512,DESC148511,Kalimantan
DESC154093,DESC146528,Célèbes
DESC153299,DESC146528,Ile de Flores
DESC153303,DESC146528,Iles Alor
DESC834443,DESC146528,Iles de la Sonde
DESC153297,DESC146528,Iles Moluques
DESC154105,DESC146528,Java
DESC1022222,DESC154105,Bandung
DESC141111,DESC154105,Cirebon
DESC932906,DESC154105,Malang
DESC152511,DESC154105,Surakarta
